logged_at_utc,received_at_utc,mqtt_device_id,topic,boot_count,reset_reason,rssi_dbm,free_heap_bytes,min_free_heap_bytes,largest_free_block_bytes,fragmentation_pct,free_drop_pct,min_drop_pct,largest_drop_pct,alert
2026-09-09T00:02:13.771613+00:00,2026-09-09T00:02:07.992437+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-46,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:03:13.779492+00:00,2026-09-09T00:03:08.499756+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,69908,53036,53236,23.85,1.71,5.98,0.0,OK
2026-09-09T00:04:13.778557+00:00,2026-09-09T00:04:09.019619+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-50,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:05:13.778221+00:00,2026-09-09T00:05:09.540268+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:06:13.778469+00:00,2026-09-09T00:06:09.968047+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,69908,53036,53236,23.85,1.71,5.98,0.0,OK
2026-09-09T00:07:13.774559+00:00,2026-09-09T00:07:10.469220+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-50,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:08:13.772374+00:00,2026-09-09T00:08:10.979325+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-51,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:09:13.782200+00:00,2026-09-09T00:09:11.509495+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,69908,53036,53236,23.85,1.71,5.98,0.0,OK
2026-09-09T00:10:13.787497+00:00,2026-09-09T00:10:12.025164+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-46,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:11:13.784834+00:00,2026-09-09T00:11:12.460363+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-52,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:12:13.790472+00:00,2026-09-09T00:12:12.967462+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,69908,53036,53236,23.85,1.71,5.98,0.0,OK
2026-09-09T00:13:13.790409+00:00,2026-09-09T00:13:13.482159+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-50,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:14:13.787214+00:00,2026-09-09T00:14:01.914478+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,69896,53036,53236,23.84,1.73,5.98,0.0,OK
2026-09-09T00:15:13.788661+00:00,2026-09-09T00:15:02.362081+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,70216,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:16:13.787207+00:00,2026-09-09T00:16:02.857661+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-54,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:17:13.784047+00:00,2026-09-09T00:17:03.369075+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,69904,53036,53236,23.84,1.72,5.98,0.0,OK
2026-09-09T00:18:13.783643+00:00,2026-09-09T00:18:03.885917+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:19:13.794155+00:00,2026-09-09T00:19:04.403378+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-52,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:20:13.792011+00:00,2026-09-09T00:20:04.840526+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,69892,53036,53236,23.83,1.73,5.98,0.0,OK
2026-09-09T00:21:13.791150+00:00,2026-09-09T00:21:05.344730+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-50,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:22:13.791461+00:00,2026-09-09T00:22:05.887676+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-50,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:23:13.797452+00:00,2026-09-09T00:23:06.375279+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,69904,53036,53236,23.84,1.72,5.98,0.0,OK
2026-09-09T00:24:13.793509+00:00,2026-09-09T00:24:06.886074+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-43,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:25:13.797260+00:00,2026-09-09T00:25:07.339828+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:26:13.794043+00:00,2026-09-09T00:26:07.820628+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-41,69904,53036,53236,23.84,1.72,5.98,0.0,OK
2026-09-09T00:27:13.784609+00:00,2026-09-09T00:27:08.356059+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-39,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:28:13.797620+00:00,2026-09-09T00:28:08.870784+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:29:13.813027+00:00,2026-09-09T00:29:09.312179+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-40,69892,53036,53236,23.83,1.73,5.98,0.0,OK
2026-09-09T00:30:13.798985+00:00,2026-09-09T00:30:09.810601+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-40,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:31:13.810877+00:00,2026-09-09T00:31:10.314685+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:32:13.799768+00:00,2026-09-09T00:32:10.837702+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-40,69904,53036,53236,23.84,1.72,5.98,0.0,OK
2026-09-09T00:33:13.811234+00:00,2026-09-09T00:33:11.356766+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-43,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:34:13.809376+00:00,2026-09-09T00:34:11.871042+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:35:13.810832+00:00,2026-09-09T00:35:12.309679+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-40,69892,53036,53236,23.83,1.73,5.98,0.0,OK
2026-09-09T00:36:13.810563+00:00,2026-09-09T00:36:12.805569+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-45,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:37:13.806852+00:00,2026-09-09T00:37:13.323034+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-41,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:38:13.803044+00:00,2026-09-09T00:38:01.759787+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-46,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:39:13.801655+00:00,2026-09-09T00:39:02.196763+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-41,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:40:13.801361+00:00,2026-09-09T00:40:02.694387+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-40,69904,53036,53236,23.84,1.72,5.98,0.0,OK
2026-09-09T00:41:13.802277+00:00,2026-09-09T00:41:03.205671+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-44,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:42:13.802824+00:00,2026-09-09T00:42:03.722501+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-43,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:43:13.805772+00:00,2026-09-09T00:43:04.170755+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-41,69904,53036,53236,23.84,1.72,5.98,0.0,OK
2026-09-09T00:44:13.808665+00:00,2026-09-09T00:44:04.671978+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-53,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:45:13.807938+00:00,2026-09-09T00:45:05.186150+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-51,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:46:13.805987+00:00,2026-09-09T00:46:05.703947+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-52,69904,53036,53236,23.84,1.72,5.98,0.0,OK
2026-09-09T00:47:13.801806+00:00,2026-09-09T00:47:06.211982+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-50,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:48:13.800854+00:00,2026-09-09T00:48:06.653560+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-49,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:49:13.808908+00:00,2026-09-09T00:49:07.160321+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,69904,53036,53236,23.84,1.72,5.98,0.0,OK
2026-09-09T00:50:13.801493+00:00,2026-09-09T00:50:07.666450+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:51:15.188000+00:00,2026-09-09T00:51:09.576772+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-50,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:52:15.198602+00:00,2026-09-09T00:52:10.086981+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-47,69892,53036,53236,23.83,1.73,5.98,0.0,OK
2026-09-09T00:53:15.196699+00:00,2026-09-09T00:53:10.537846+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-51,70212,53036,53236,24.18,1.28,5.98,0.0,OK
2026-09-09T00:54:15.192141+00:00,2026-09-09T00:54:11.033959+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-48,70212,53036,53236,24.18,1.28,5.98,0.0,OK
